iterStep,process,time
0,health serialization,0.01208353042602539
1,order serialization,0.04123687744140625
2,health serialization,0.00846242904663086
3,order serialization,0.05053853988647461
4,health serialization,0.013211250305175781
5,order serialization,0.030599355697631836
6,health serialization,0.0012583732604980469
7,order serialization,0.020239591598510742
8,health serialization,0.017588138580322266
9,order serialization,0.00871896743774414
10,health serialization,0.008646249771118164
11,order serialization,0.019551992416381836
12,health serialization,0.028583288192749023
13,order serialization,0.02349710464477539
14,health serialization,0.0018880367279052734
15,order serialization,0.006102323532104492
16,health serialization,0.00078582763671875
17,order serialization,0.03777718544006348
18,health serialization,0.0012083053588867188
19,order serialization,0.017546653747558594
20,health serialization,0.00801849365234375
21,order serialization,0.010048389434814453
22,health serialization,0.0036268234252929688
23,order serialization,0.02951359748840332
24,health serialization,0.000835418701171875
25,order serialization,0.015149354934692383
26,health serialization,0.004263639450073242
27,order serialization,0.019167661666870117
28,health serialization,0.005835771560668945
29,order serialization,0.0186917781829834
30,health serialization,0.012074947357177734
31,order serialization,0.044873714447021484
32,health serialization,0.029636144638061523
33,order serialization,0.014081716537475586
34,health serialization,0.009178400039672852
35,order serialization,0.02945089340209961
36,health serialization,0.004246711730957031
37,order serialization,0.03192710876464844
38,health serialization,0.05831551551818848
39,order serialization,0.020305395126342773
40,health serialization,0.007193088531494141
41,order serialization,0.017842769622802734
42,health serialization,0.07089447975158691
43,order serialization,0.019922733306884766
44,health serialization,0.0025413036346435547
45,order serialization,0.004133701324462891
46,health serialization,0.010082483291625977
47,order serialization,0.016236543655395508
48,health serialization,0.0076694488525390625
49,order serialization,0.021526098251342773
50,health serialization,0.0028836727142333984
51,order serialization,0.015187501907348633
52,health serialization,0.012241840362548828
53,order serialization,0.020392656326293945
54,health serialization,0.018055438995361328
55,order serialization,0.0252683162689209
56,health serialization,0.00776982307434082
57,order serialization,0.0068492889404296875
58,health serialization,0.00599217414855957
59,order serialization,0.015943527221679688
60,health serialization,0.009676933288574219
61,order serialization,0.00599980354309082
62,health serialization,0.006872892379760742
63,order serialization,0.019470691680908203
64,health serialization,0.0009186267852783203
65,order serialization,0.022312164306640625
66,health serialization,0.015352964401245117
67,order serialization,0.0520780086517334
68,health serialization,0.0008788108825683594
69,order serialization,0.05666089057922363
70,health serialization,0.0007066726684570312
71,order serialization,0.03604412078857422
72,health serialization,0.0151214599609375
73,order serialization,0.020728111267089844
74,health serialization,0.0101776123046875
75,order serialization,0.014976978302001953
76,health serialization,0.0007870197296142578
77,order serialization,0.014501094818115234
78,health serialization,0.0011072158813476562
79,order serialization,0.03152656555175781
80,health serialization,0.0016617774963378906
81,order serialization,0.012523889541625977
82,health serialization,0.0013136863708496094
83,order serialization,0.021442413330078125
84,health serialization,0.012311935424804688
85,order serialization,0.03166794776916504
86,health serialization,0.003309965133666992
87,order serialization,0.026410818099975586
88,health serialization,0.02557373046875
89,order serialization,0.0181581974029541
90,health serialization,0.0510866641998291
91,order serialization,0.008965253829956055
92,health serialization,0.010957002639770508
93,order serialization,0.012367010116577148
94,health serialization,0.004450559616088867
95,order serialization,0.025361061096191406
96,health serialization,0.004579305648803711
97,order serialization,0.02350616455078125
98,health serialization,0.02959156036376953
99,order serialization,0.0156857967376709
100,health serialization,0.001980304718017578
101,order serialization,0.004838705062866211
102,health serialization,0.04236292839050293
103,order serialization,0.017917633056640625
104,health serialization,0.0066471099853515625
105,order serialization,0.013056278228759766
106,health serialization,0.011553287506103516
107,order serialization,0.03593707084655762
108,health serialization,0.00400853157043457
109,order serialization,0.017374277114868164
110,health serialization,0.017880678176879883
111,order serialization,0.013094902038574219
112,health serialization,0.0020444393157958984
113,order serialization,0.03193545341491699
114,health serialization,0.03209352493286133
115,order serialization,0.03639674186706543
116,health serialization,0.0009989738464355469
117,order serialization,0.019784927368164062
118,health serialization,0.0034792423248291016
119,order serialization,0.0034117698669433594
120,health serialization,0.002679586410522461
121,order serialization,0.012662172317504883
122,health serialization,0.016481876373291016
123,order serialization,0.041684627532958984
124,health serialization,0.013363361358642578
125,order serialization,0.01702404022216797
126,health serialization,0.011689424514770508
127,order serialization,0.04126477241516113
128,health serialization,0.00493621826171875
129,order serialization,0.054007768630981445
130,health serialization,0.0014681816101074219
131,order serialization,0.02421879768371582
132,health serialization,0.0007722377777099609
133,order serialization,0.025027751922607422
134,health serialization,0.01064753532409668
135,order serialization,0.056734323501586914
136,health serialization,0.015669822692871094
137,order serialization,0.04868054389953613
138,health serialization,0.011128664016723633
139,order serialization,0.018085479736328125
140,health serialization,0.0007653236389160156
141,order serialization,0.014703512191772461
142,health serialization,0.006920337677001953
